fileName_clean,output
classroominv,"classroominv,59/0"
classroominv.als,"classroominv.als,2/0"
cvinv,"cvinv,60/58"
graphsacyclic,"graphsacyclic,8/7"
graphscomplete,"graphscomplete,8/7"
graphsnoloops,"graphsnoloops,8/8"
graphsoriented,"graphsoriented,8/4"
graphsstronglyConnected,"graphsstronglyConnected,8/7"
graphstransitive,"graphstransitive,2/2"
graphsundirected,"graphsundirected,5/0"
graphsundirected.als,"graphsundirected.als,3/0"
graphsweaklyConnected,"graphsweaklyConnected,10/5"
ltsinv,"ltsinv,60/48"
productioninv,"productioninv,60/60"
trashinv,"trashinv,57/0"
